"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"95",751.063982043762,1445,832.397435684133
"96",1337,1390.13646870451,1195.22473634368
"97",1337,872.722455606216,890.568108591611
"98",1274,1087.87699468241,1498
"99",1154.47398345249,1073.66064629032,1579
"100",1313,132.788646010849,196.106016789138
"101",634.259064354329,1499,1582
"102",1073.31620442692,36.3539156803895,1253.58387270167
"103",1370,927.169797087541,428.28739709097
"104",1277,1350.1503168284,1434.5422529762
"105",644.478356370168,1502,1567
"106",773.601149834637,1436,1413.3762982716
"107",390.122068974102,1188.35688846179,1543
"108",566.52228253592,1067.29439767652,1513
"109",1134.13564167154,846.040094042274,501.54204111787
"110",1262,1451,808.655856723903
"111",1238,1442,1474.78846954748
"112",1310,1188.49804537689,887.430160615862
"113",832.798230065292,1454,1213.25361880327
"114",713.46358565759,1089.04367095614,1498
"115",1241,1149.49598900175,1007.64345536937
"116",1364,477.227097385114,1374.62257568088
"117",1262,1481,958.719660299116
"118",1256,1505,1549
"119",1280,1126.90395434268,1074.91196988469
"120",649.964682344538,988.265669159672,1519
"121",339.157628639065,1478,916.881752436861
"122",1355,-202.312796566651,1434.54808697442
"123",1289,1107.27857179448,1415.03597977967
"124",1114.71462771794,1290.47340008862,1543
"125",1134.14329116618,1493,1293.71691248896
"126",1238,1454,930.771685116226
"127",853.429084657091,1493,1175.40664962306
"128",1214.89319265233,786.341013809557,1531
"129",1277,1511,1194.89135409489
"130",1418,1532,1579
"131",851.386603859709,1430,1534
"132",1241,1249.64282653027,1170.67888172735
"133",683.651649949192,829.947286520022,1552
"134",1017.1529039767,1529,1516
"135",1319,825.304144729332,1210.78696419795
"136",498.37252485565,1409.62124788017,1375.15610111506
"137",1364,1288.91003239986,1110.97856782067
"138",1280,506.476091837017,1504
"139",1133.84069260501,1349.16745285852,688.102913463995
"140",1247,636.861011999589,-180.044166083542
"141",1271,667.278592979485,1136.38972040926
"142",1277,1070.13833460331,1112.84622962402
"143",1094.52145908137,-89.4676063156603,1233.5515481005
"144",1259,1523,732.210146856284
"145",1036.34121826792,1247.98257132069,873.022720575472
"146",1304,453.182270551238,816.650386208185
"147",455.436112742146,1310.41815318629,1132.16614409532
"148",1271,1389.45644472096,1393.58999292763
"149",1403,1024.8919179792,1555
"150",631.756819597485,986.248884522798,287.478068085882
"151",1051.79356211425,1589,669.122170990016
"152",1244,1267.77369707946,1525
"153",1280,551.442755339021,1474.9012452483
"154",1256,652.436008264106,1414.47761007849
"155",954.484748666554,1088.14943904347,1495
"156",1115.00132948715,1188.02028863786,1474.71859416798
"157",-274.868216407565,1109.57742674905,331.811749049475
"158",1325,399.00210171626,1414.27236621918
"159",813.328475123671,1308.74088816451,1176.48981338617
"160",995.974033641982,8.37499164947258,1639
"161",1154.42730988701,1369.65741571288,42.3160612943352
"162",807.662465709925,1166.47448847483,385.537057701545
"163",1214.97860519212,1460,682.445747073896
"164",933.596178805222,1249.61216219923,1513
"165",1307,1481,1454.64765050435
"166",1352,1247.43138612616,125.381296064837
"167",1433,803.89134735394,49.6554169637739
"168",1030.87707485225,1269.85910078784,833.578336612951
"169",1349,1069.00903106821,989.133369214436
"170",1418,505.865438295211,852.743155326723
"171",83.8298607401539,1024.9064949638,1090.86368807489
"172",952.748334928006,683.888408933865,1413.92731475765
"173",1301,415.308690648732,1153.52361009719
"174",1268,1288.1550597069,1070.98991462095
"175",1304,1028.92208035432,855.069301707766
"176",1310,906.876961893917,915.252624793782
"177",1265,1188.43609655499,1612
"178",1307,1044.50648130945,685.467796199085
"179",1307,1068.5683007143,888.936464550905
"180",1268,1329.83562878868,1373.47423261377
"181",1194.96598703273,1454,295.555856645425
"182",1259,1448,1495
"183",754.032339409531,1523,955.096857475038
"184",1194.24394461784,1046.40427746402,1434.61626887062
"185",200.873331565353,1472,1498
"186",1292,634.279946700252,1015.37725282738
"187",1310,1562,1233.77298241571
"188",1235,1190.70978051085,1549
"189",790.032035066373,1583,1540
"190",1319,553.337613099722,1211.69662799679
"191",1253,1469,1052.20467594681
"192",956.44052419386,770.78377022265,791.40342152856
"193",508.171242892224,1505,1154.28981575206
"194",1283,704.398976756906,1522
"195",1328,724.674073252997,1373.97554242175
"196",1235,1269.96197286655,78.2855281869579
"197",1074.72168791716,625.077743992729,1510
"198",1313,1481,569.012453642232
"199",1283,644.370605307755,1525
"200",1298,984.400587675065,1354.78334537165
"201",1113.60409283608,879.348620652891,1501
"202",1262,1589,1651
"203",1286,1481,1474.84236677797
"204",1274,1481,1135.22474254469
"205",1358,1389.64064851303,1513
"206",794.822587822821,1389.80252495515,504.511372075297
"207",1358,1209.71010198118,1570
"208",1241,1106.17752821586,872.151531568045
"209",1154.22584750155,642.932168143369,1546
"210",873.775028238058,804.199371749345,1552
"211",1292,1445,997.451720727256
"212",1298,808.052101213463,794.465857838744
"213",1280,629.058067273485,1513
"214",1337,823.063548500154,1507
"215",1114.86938871061,1466,1049.86919993049
"216",-17.7039032484704,1511,647.041869255625
"217",1340,1369.32656189163,1597
"218",1174.32995572943,405.774300583675,1154.10933008907
"219",1322,1481,537.306297041175
"220",1241,1288.60287476991,732.490684696983
"221",893.202418522604,1439,1071.17732270507
"222",1289,99.6180338699464,791.971320769188
"223",1241,1148.25610444449,913.775996095223
"224",1319,809.22287815179,1678
"225",1235,667.43680285441,1088.60785215285
"226",951.253341057767,942.525671827114,1374.6816610837
"227",1153.94808616696,1460,1114.16494103101
"228",157.903905501371,1490,1212.54152445828
"229",950.099825602769,572.294452014687,1394.31753653601
"230",995.351895127353,1448,1353.57043750032
"231",930.075091421125,406.713452172131,1232.65164169152
"232",971.435610428684,1348.60142113344,1294.5088950656
"233",1403,1472,1507
"234",1175.1746133065,1046.55987689542,309.023265399625
"235",1214.77549123882,1523,1393.744973895
"236",1114.94883238785,1128.08675136649,-88.8457617336317
"237",1215.02315594701,292.400402197573,1433.95547367056
"238",1352,219.662959148937,1531
"239",1244,765.805196443208,542.228483351818
"240",1289,1634,1567
"241",1274,945.409462681352,1094.97496036374
"242",1295,1442,1312.74201783935
"243",1259,370.238249330888,477.73616214018
"244",810.280658480914,1439,989.783818027041
"245",1319,1478,1454.8606428686
"246",1271,1433,628.402348111335
"247",377.794753122923,1370.09204932383,792.052491603462
"248",1421,546.188259879058,1582
"249",1256,705.539105177367,1434.52395824447
"250",1298,1508,1552
"251",1301,1088.35335107965,1034.41890548033
"252",934.998660873794,1288.66324645313,1316.05542574005
"253",1346,1448,1537
"254",1250,1005.8894357329,1498
"255",789.37945697619,900.931406669758,1501
"256",770.534798327247,819.801389128994,409.417735679136
"257",1295,1487,707.371128313371
"258",769.761841646623,1511,1294.67523902406
"259",1280,1168.79008984908,953.361222996906
"260",1286,687.774400395298,1528
"261",931.833949205988,1087.77325182463,1498
"262",1385,1499,1522
"263",1262,766.59246960748,1537
"264",1238,930.449318756753,669.7563441034
"265",1250,1439,1528
"266",1352,1330.02170055744,5.76275670922769
"267",1289,1478,1603
"268",1238,457.783990173134,-244.880850593781
"269",1271,1409.91266202666,1353.68784952669
"270",1331,38.6929993010749,330.764871469937
"271",1265,1457,1213.92335888372
"272",1295,1226.8024374865,1455.28232915427
"273",1307,1448,1555
"274",1241,1249.48454421661,884.962941494688
"275",1382,1592,1567
"276",930.426420092717,1268.78626385445,1504
"277",1031.81787343326,1205.67333090478,935.486215665576
"278",1400,789.322044396056,1314.28509454439
"279",387.514627772784,1442,853.644376173878
"280",1175.15763658388,1571,361.088139763912
"281",1253,1469,936.213107477872
"282",913.524502779602,1436,950.651360275127
